"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,13,"Plug-in: External same-X recalibrated",0.061198502628398,0.0570926562306611,0.105592082434691,0.90546886541472
"transported",0.01,13,"Augmented: External BISG-like",0.0533067190926489,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,13,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,14,"IPW",0.0428239490770526,0.0570926562306611,NA,NA
"transported",0.01,14,"Augmented: Target-audit same-X",0.0590073513474418,0.0570926562306611,0.118786917674972,0.898605433267248
"transported",0.01,14,"Plug-in: Target-audit same-X",0.0583099066335425,0.0570926562306611,0.118786917674972,0.898605433267248
"transported",0.01,14,"Augmented: External same-X",0.0554515420901311,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,14,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,14,"Augmented: External same-X distorted",0.0585400512833764,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,14,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,14,"Augmented: External same-X recalibrated",0.0580071447799114,0.0570926562306611,0.11101409189287,0.906418563683786
"transported",0.01,14,"Plug-in: External same-X recalibrated",0.0614588731437132,0.0570926562306611,0.11101409189287,0.906418563683786
"transported",0.01,14,"Augmented: External BISG-like",0.0528000418021191,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,14,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,15,"IPW",0.0661708082180108,0.0570926562306611,NA,NA
"transported",0.01,15,"Augmented: Target-audit same-X",0.0638321390469381,0.0570926562306611,0.112450168498796,0.892650887191984
"transported",0.01,15,"Plug-in: Target-audit same-X",0.0628924069768543,0.0570926562306611,0.112450168498796,0.892650887191984
"transported",0.01,15,"Augmented: External same-X",0.0631561078201862,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,15,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,15,"Augmented: External same-X distorted",0.0613459336898555,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,15,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,15,"Augmented: External same-X recalibrated",0.063419733783561,0.0570926562306611,0.103779773637942,0.907480379109618
"transported",0.01,15,"Plug-in: External same-X recalibrated",0.0586285464680869,0.0570926562306611,0.103779773637942,0.907480379109618
"transported",0.01,15,"Augmented: External BISG-like",0.0646323546278769,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,15,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,16,"IPW",0.0508860860714021,0.0570926562306611,NA,NA
"transported",0.01,16,"Augmented: Target-audit same-X",0.0452200336181793,0.0570926562306611,0.136639878514009,0.85185180299906
"transported",0.01,16,"Plug-in: Target-audit same-X",0.0429413484090532,0.0570926562306611,0.136639878514009,0.85185180299906
